ticker,company_name,max_down_streak,avg_down_streak,total_down_streaks,entropy
CBOE,"Cboe Global Markets, Inc.",5,5.0,6,0.0
HIG,"The Hartford Financial Services Group, Inc.",5,5.0,4,0.0
HUBB,Hubbell Incorporated,5,5.0,5,0.0
NI,NiSource Inc.,5,5.0,9,0.0
SW,Smurfit Westrock Plc,6,6.0,2,0.0
VRTX,Vertex Pharmaceuticals Incorporated,5,5.0,2,0.0
ABT,Abbott Laboratories,10,5.5,10,0.46899559358928117
BX,Blackstone Inc.,6,5.1,10,0.46899559358928117
J,Jacobs Solutions Inc.,6,5.111111111111111,9,0.5032583347756457
TXN,Texas Instruments Incorporated,6,5.111111111111111,9,0.5032583347756457
IRM,Iron Mountain Incorporated,6,5.125,8,0.5435644431995964
TER,"Teradyne, Inc.",6,5.125,8,0.5435644431995964
LIN,Linde plc,6,5.142857142857143,7,0.5916727785823274
MU,"Micron Technology, Inc.",6,5.142857142857143,14,0.5916727785823274
TPR,"Tapestry, Inc.",9,5.571428571428571,7,0.5916727785823274
YUM,"Yum! Brands, Inc.",6,5.142857142857143,7,0.5916727785823274
AIG,"American International Group, Inc.",7,5.333333333333333,6,0.6500224216483541
AVY,Avery Dennison Corporation,6,5.166666666666667,12,0.6500224216483541
HST,"Host Hotels & Resorts, Inc.",7,5.333333333333333,6,0.6500224216483541
K,Kellanova,7,5.333333333333333,6,0.6500224216483541
OKE,"ONEOK, Inc.",8,5.5,6,0.6500224216483541
PEG,Public Service Enterprise Group Incorporated,6,5.166666666666667,6,0.6500224216483541
REGN,"Regeneron Pharmaceuticals, Inc.",7,5.333333333333333,12,0.6500224216483541
TDG,TransDigm Group Incorporated,6,5.166666666666667,6,0.6500224216483541
DTE,DTE Energy Company,6,5.181818181818182,11,0.6840384356390417
CSX,CSX Corporation,8,5.266666666666667,15,0.6998428398862386
ACGL,Arch Capital Group Ltd.,6,5.2,5,0.7219280948873623
BSX,Boston Scientific Corporation,8,5.6,5,0.7219280948873623
ESS,"Essex Property Trust, Inc.",6,5.2,5,0.7219280948873623
ETN,Eaton Corporation plc,6,5.2,5,0.7219280948873623
ORCL,Oracle Corporation,6,5.2,10,0.7219280948873623
VRSN,"VeriSign, Inc.",10,6.0,10,0.7219280948873623
VST,Vistra Corp.,6,5.222222222222222,9,0.7642045065086203
GM,General Motors Company,8,5.3076923076923075,13,0.7732283485249177
BXP,"BXP, Inc.",6,5.25,8,0.8112781244591328
CPT,Camden Property Trust,7,5.5,12,0.8112781244591328
CTAS,Cintas Corporation,6,5.25,4,0.8112781244591328
GDDY,GoDaddy Inc.,6,5.25,8,0.8112781244591328
GE,GE Aerospace,7,5.5,4,0.8112781244591328
KIM,Kimco Realty Corporation,7,5.5,8,0.8112781244591328
LII,Lennox International Inc.,6,5.25,8,0.8112781244591328
ORLY,"O'Reilly Automotive, Inc.",6,5.25,4,0.8112781244591328
SPG,"Simon Property Group, Inc.",6,5.25,4,0.8112781244591328
TRGP,Targa Resources Corp.,6,5.25,8,0.8112781244591328
WMT,Walmart Inc.,6,5.25,4,0.8112781244591328
EXPD,"Expeditors International of Washington, Inc.",9,5.416666666666667,12,0.8166890883150209
WY,Weyerhaeuser Company,8,5.416666666666667,12,0.8166890883150209
CB,Chubb Limited,6,5.285714285714286,7,0.8631205685666311
WRB,W. R. Berkley Corporation,6,5.714285714285714,7,0.8631205685666311
CVX,Chevron Corporation,8,5.363636363636363,11,0.8658566174572236
CSCO,"Cisco Systems, Inc.",6,5.3,10,0.8812908992306927
PWR,"Quanta Services, Inc.",6,5.3,10,0.8812908992306927
WDAY,"Workday, Inc.",6,5.3,10,0.8812908992306927
